Date,GC=F,SI=F,HG=F,CL=F,NG=F,ZC=F,ZO=F,KE=F,ZS=F,HE=F,LE=F,CC=F,KC=F,CT=F,SB=F
2013-01-02,1687.9000244140625,30.95199966430664,3.7244999408721924,93.12000274658203,3.2330000400543213,690.75,335.5,811.0,1405.5,86.17500305175781,132.375,2259.0,149.39999389648438,75.36000061035156,19.690000534057617
2013-01-03,1673.699951171875,30.67099952697754,3.7014999389648438,92.91999816894531,3.197999954223633,689.25,337.75,811.25,1403.0,86.4000015258789,133.85000610351562,2256.0,146.5,75.38999938964844,19.100000381469727
2013-01-04,1648.0999755859375,29.895999908447266,3.678499937057495,93.08999633789062,3.2869999408721924,680.25,332.75,804.5,1389.0,86.2249984741211,132.9499969482422,2220.0,147.35000610351562,75.05000305175781,18.850000381469727
2013-01-07,1645.5,30.031999588012695,3.6630001068115234,93.19000244140625,3.2660000324249268,685.5,331.5,807.5,1410.75,86.30000305175781,133.0,2267.0,150.39999389648438,75.70999908447266,18.860000610351562
2013-01-08,1661.5,30.415000915527344,3.6570000648498535,93.1500015258789,3.2179999351501465,688.75,331.75,808.75,1413.75,86.3499984741211,132.5500030517578,2215.0,148.14999389648438,75.12000274658203,18.670000076293945
2013-01-09,1654.800048828125,30.201000213623047,3.6565001010894775,93.0999984741211,3.11299991607666,694.25,336.5,801.25,1419.75,84.19999694824219,131.5500030517578,2223.0,147.89999389648438,74.79000091552734,18.719999313354492
2013-01-10,1677.300048828125,30.875,3.694499969482422,93.81999969482422,3.193000078201294,698.75,339.5,796.5,1417.5,84.5999984741211,131.5500030517578,2269.0,149.64999389648438,75.19999694824219,18.959999084472656
2013-01-11,1660.0,30.367000579833984,3.6394999027252197,93.55999755859375,3.3269999027252197,708.75,346.75,807.0,1424.75,84.19999694824219,130.60000610351562,2256.0,153.35000610351562,75.62000274658203,19.170000076293945
2013-01-14,1668.9000244140625,31.079999923706055,3.619499921798706,94.13999938964844,3.372999906539917,724.0,354.0,823.5,1459.75,85.2249984741211,130.35000610351562,2267.0,153.3000030517578,75.5199966430664,18.899999618530273
2013-01-15,1683.4000244140625,31.49799919128418,3.622999906539917,93.27999877929688,3.4549999237060547,730.5,356.5,838.25,1413.5,85.25,130.4250030517578,2270.0,152.5,76.20999908447266,18.6200008392334
2013-01-16,1682.699951171875,31.513999938964844,3.5910000801086426,94.23999786376953,3.434999942779541,731.25,357.25,842.5,1436.5,85.1500015258789,128.52499389648438,2256.0,153.0,77.33000183105469,18.450000762939453
2013-01-17,1690.4000244140625,31.785999298095703,3.6470000743865967,95.48999786376953,3.49399995803833,724.5,355.0,837.0,1430.25,85.94999694824219,126.5999984741211,2300.0,155.5,77.77999877929688,18.420000076293945
2013-01-18,1686.5999755859375,31.902000427246094,3.6635000705718994,95.55999755859375,3.565999984741211,727.5,355.5,843.75,1429.25,85.3499984741211,124.94999694824219,2285.0,156.3000030517578,78.55000305175781,18.3700008392334
2013-01-22,1692.800048828125,32.14699935913086,3.690999984741211,96.23999786376953,3.558000087738037,728.5,359.0,830.75,1451.75,85.69999694824219,125.7249984741211,2213.0,148.60000610351562,79.93000030517578,18.1200008392334
2013-01-23,1686.300048828125,32.409000396728516,3.6710000038146973,95.2300033569336,3.553999900817871,720.75,359.75,830.25,1437.0,85.9749984741211,125.7750015258789,2215.0,150.39999389648438,80.4800033569336,18.5
2013-01-24,1669.5,31.69499969482422,3.6644999980926514,95.94999694824219,3.446000099182129,724.25,361.0,821.5,1435.25,87.05000305175781,125.875,2195.0,146.5500030517578,82.88999938964844,18.489999771118164
